totalRequestTime,loadSeconds,evalTokensPerSecond,modelName,promptTokenCount,outputTokenCount,timestamp
13.94834,6.04563,9.22749,anatomy-tutor-fast,526.0,40.0,2026-06-26 16:40:03
10.20324,0.1730113,12.55739,anatomy-tutor-fast,619.0,85.0,2026-06-26 16:40:14
6.337498,0.1613084,19.87717,anatomy-tutor-fast,549.0,94.0,2026-06-26 16:40:20
3.210632,0.1618137,20.16465,anatomy-tutor-fast,526.0,37.0,2026-06-26 16:40:24
1.41512,0.1596457,23.77631,anatomy-tutor-fast,465.0,6.0,2026-06-26 16:40:26
33.89117,16.66949,6.336078,anatomy-tutor,607.0,74.0,2026-06-26 16:41:00
7.821938,0.0331036,9.494061,anatomy-tutor,722.0,3.0,2026-06-26 16:41:08
17.47005,0.0280838,6.470973,anatomy-tutor,661.0,68.0,2026-06-26 16:41:25
24.89822,0.0303334,6.441101,anatomy-tutor,641.0,114.0,2026-06-26 16:41:51
15.89959,0.0281787,6.540022,anatomy-tutor,542.0,65.0,2026-06-26 16:42:07
32.95194,13.38215,5.31566,ncatmedllama,586.0,75.0,2026-06-26 16:42:40
21.04134,0.0564841,5.26478,ncatmedllama,701.0,67.0,2026-06-26 16:43:01
25.8644,0.0301065,5.240839,ncatmedllama,640.0,92.0,2026-06-26 16:43:27
20.03594,0.0345844,5.341853,ncatmedllama,620.0,69.0,2026-06-26 16:43:48
16.83383,0.0287073,5.368799,ncatmedllama,521.0,59.0,2026-06-26 16:44:05
13.80779,3.085348,7.088254,meditron,470.0,54.0,2026-06-26 16:44:19
13.33959,0.0276392,6.945305,meditron,585.0,76.0,2026-06-26 16:44:32
13.41865,0.0352004,7.07127,meditron,524.0,48.0,2026-06-26 16:44:46
131.9991,0.0359957,6.704482,meditron,504.0,844.0,2026-06-26 16:46:58
17.21573,0.0445104,7.122745,meditron,405.0,63.0,2026-06-26 16:47:16
34.15867,16.14191,5.328406,medllama2,404.0,77.0,2026-06-26 16:47:50
6.738461,0.0274765,7.923093,medllama2,519.0,3.0,2026-06-26 16:47:57
15.1495,0.0304106,5.354164,medllama2,458.0,50.0,2026-06-26 16:48:12
28.22099,0.0255209,5.257611,medllama2,438.0,118.0,2026-06-26 16:48:41
27.27441,0.0275757,5.333614,medllama2,339.0,120.0,2026-06-26 16:49:08
15.13742,13.43273,20.74775,llama3.2,353.0,3.0,2026-06-26 16:49:24
2.407791,0.2021784,20.93949,llama3.2,446.0,3.0,2026-06-26 16:49:27
2.258515,0.2416528,20.85825,llama3.2,376.0,3.0,2026-06-26 16:49:29
1.936255,0.2351696,20.68252,llama3.2,353.0,3.0,2026-06-26 16:49:31
1.634004,0.2365477,28.41474,llama3.2,292.0,2.0,2026-06-26 16:49:33
13.5359,12.23167,45.52179,llama3.2:1b,353.0,2.0,2026-06-26 16:49:47
1.842613,0.2447534,32.83857,llama3.2:1b,446.0,3.0,2026-06-26 16:49:49
1.625962,0.245137,46.17125,llama3.2:1b,376.0,2.0,2026-06-26 16:49:51
1.388505,0.234253,47.07987,llama3.2:1b,353.0,2.0,2026-06-26 16:49:53
1.171767,0.2021281,47.13091,llama3.2:1b,292.0,2.0,2026-06-26 16:49:54
15.00611,13.29431,26.26844,qwen2.5:3b,368.0,2.0,2026-06-26 16:50:09
2.251667,0.1709098,26.40369,qwen2.5:3b,476.0,2.0,2026-06-26 16:50:12
1.977027,0.1859983,26.96399,qwen2.5:3b,387.0,2.0,2026-06-26 16:50:14
1.981341,0.2028269,26.13423,qwen2.5:3b,375.0,2.0,2026-06-26 16:50:16
1.454742,0.1676344,26.11341,qwen2.5:3b,296.0,2.0,2026-06-26 16:50:18
